Time Stamp,ID,Extended,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1437,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1441,377,FALSE,0,8,5,BB,0,D9,41,3F,3D,22,
1445,29A,FALSE,0,8,2,35,32,31,FF,FF,FF,FF,
1448,287,FALSE,0,8,27,10,27,10,27,10,0,0,
1453,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
1456,75A,FALSE,0,8,3,E8,3,E8,64,64,38,39,
1460,734,FALSE,0,8,3,E8,3,E8,64,64,39,39,
1463,571,FALSE,0,8,0,0,0,0,0,0,0,0,
1466,565,FALSE,0,8,AA,2,0,0,80,AA,0,0,
1470,373,FALSE,0,8,C5,C5,7F,50,C,BA,80,17,
1473,370,FALSE,0,8,5,BE,0,0,0,0,0,0,
