Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1767062277108762,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277108549,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277108293,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277100144,00000145,false,Rx,0,8,73,A7,50,87,F3,73,69,1C,
-1767062277099888,00000053,false,Rx,0,8,00,00,80,01,77,7F,F9,00,
-1767062277099590,00000141,false,Rx,0,8,00,F6,6E,5C,4F,64,00,05,
-1767062277099334,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277099120,00000175,false,Rx,0,8,07,FF,00,0B,9C,80,00,0E,
-1767062277098864,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277098566,0000018A,false,Rx,0,8,00,00,00,01,00,00,00,01,
-1767062277098310,00000288,false,Rx,0,8,23,37,9F,FF,00,02,0A,00,
-1767062277098096,00000290,false,Rx,0,8,23,24,23,0E,01,03,CA,7F,
-1767062277097840,00000316,false,Rx,0,8,00,00,00,00,00,00,00,00,
-1767062277097542,00000493,false,Rx,0,8,00,00,00,00,00,00,00,06,
-1767062277097286,00000494,false,Rx,0,8,00,00,00,00,00,00,00,01,
-1767062277097030,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277096774,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,F8,A7,
-1767062277096518,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,84,
-1767062277096262,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277090204,00000142,false,Rx,0,8,2F,71,2D,73,89,01,00,05,
-1767062277089948,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277089649,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277089436,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,80,
-1767062277089180,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277080135,00000141,false,Rx,0,8,01,BA,6E,5C,4F,64,00,05,
-1767062277079879,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277079623,00000178,false,Rx,0,8,60,00,01,F2,38,75,58,00,
-1767062277079367,00000286,false,Rx,0,8,A8,4A,FF,F0,00,50,01,01,
-1767062277079111,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277078855,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,F8,A7,
-1767062277078599,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277078343,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277070109,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277069810,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277069512,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277069298,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277060125,00000142,false,Rx,0,8,30,71,2E,73,89,01,00,05,
-1767062277059869,00000141,false,Rx,0,8,02,6E,6E,5C,4F,64,00,05,
-1767062277059613,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277059357,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277059102,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277058846,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277058590,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277050185,0000017B,false,Rx,0,8,01,65,A0,00,10,2F,00,00,
-1767062277049929,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,E7,
-1767062277049673,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FC,52,
-1767062277049417,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277049161,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277040116,00000182,false,Rx,0,8,00,02,FF,7F,F9,00,00,00,
-1767062277039860,00000141,false,Rx,0,8,03,22,6E,5D,4F,64,00,05,
-1767062277039604,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277039348,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,BF,
-1767062277039092,000005C1,false,Rx,0,8,00,00,00,00,80,00,03,AA,
-1767062277038836,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277038623,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277030218,00000142,false,Rx,0,8,31,71,2F,73,89,01,00,05,
-1767062277029919,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,D9,
-1767062277029663,000005C1,false,Rx,0,8,00,00,00,00,80,00,07,56,
-1767062277029407,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,7F,
-1767062277029151,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277020107,00000479,false,Rx,0,8,23,23,23,07,1C,54,00,01,
-1767062277019851,00000141,false,Rx,0,8,04,DB,6E,5C,4F,64,00,05,
-1767062277019595,00000143,false,Rx,0,8,BF,FC,18,00,18,00,00,10,
-1767062277019339,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,A4,
-1767062277019083,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277018827,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,83,
-1767062277018571,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062277011958,00000536,false,Rx,0,8,00,41,40,21,00,00,00,00,
-1767062277009313,00000178,false,Rx,0,8,60,00,05,E4,38,75,58,00,
-1767062277009057,000005C0,false,Rx,0,8,63,00,00,FF,FF,10,2E,CC,
-1767062277008758,000005C1,false,Rx,0,8,00,00,00,00,7F,FF,FF,FE,
-1767062277008545,000005D0,false,Rx,0,8,00,00,5F,8E,5E,2B,13,81,
-1767062277008289,000005D1,false,Rx,0,8,5E,D3,60,B2,00,30,00,43,
-1767062276999927,00000145,false,Rx,0,8,73,A7,50,87,F3,73,69,1C,
-1767062276999671,00000053,false,Rx,0,8,00,00,80,01,77,7F,F9,00,
